/0:0:0:0:0:0:0:1 - - [17/Feb/2018:18:13:45 -0800] "DELETE /cool.html HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:20:51:44 -0800] "POST / HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:11:36 -0800] "POST / HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:21:42 -0800] "POST / HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:21:52 -0800] "GET / HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:24:39 -0800] "GET / HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:28:05 -0800] "GET /ab/ HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:33:03 -0800] "GET /cgi-bin/basic_args.sh HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:33:06 -0800] "GET /cgi-bin/perl_env HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:33:10 -0800] "GET /cgi-bin/basic_args.sh HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:33:57 -0800] "GET /sdff HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:33:57 -0800] "GET /cgi-bin/basic_args.sh HTTP/1.1" -
/0:0:0:0:0:0:0:1 - - [17/Feb/2018:21:40:06 -0800] "GET / HTTP/1.1" -
10.143.212.234 - - [18/Feb/2018:15:41:23 -0800] "GET /cgi-bin/perl_env HTTP/1.1" -
10.143.212.234 - - [18/Feb/2018:15:41:29 -0800] "GET /cgi-bin/basic_args.sh HTTP/1.1" -
10.143.212.234 - - [18/Feb/2018:15:41:50 -0800] "GET /cgi-bin/basic_args.sh HTTP/1.1" -
10.143.212.234 - - [18/Feb/2018:15:42:32 -0800] "GET /protected/ HTTP/1.1" -
10.143.212.234 - - [18/Feb/2018:15:42:48 -0800] "GET /protected/ HTTP/1.1" -
10.143.212.234 - - [18/Feb/2018:15:42:57 -0800] "GET / HTTP/1.1" 3143
10.143.212.234 - - [18/Feb/2018:15:43:07 -0800] "GET / HTTP/1.1" 3143
10.143.212.234 - - [18/Feb/2018:15:43:19 -0800] "GET / HTTP/1.1" 3143
10.143.212.234 - - [18/Feb/2018:15:43:26 -0800] "GET / HTTP/1.1" 3143
10.143.212.234 - - [18/Feb/2018:16:00:35 -0800] "GET / HTTP/1.1" 3143
10.143.212.234 - - [18/Feb/2018:16:02:25 -0800] "GET / HTTP/1.1" 304 3143
10.143.212.234 - - [18/Feb/2018:16:57:30 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:16:57:30 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:16:57:30 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:16:57:30 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:16:57:30 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:16:57:36 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:02:31 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:05:28 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:07:34 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:08:17 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:08:52 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:11:14 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:11:14 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:11:16 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:11:22 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:11:42 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:17:35 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:20:43 -0800] "GET / HTTP/1.1" 200 3143
10.143.212.234 - - [18/Feb/2018:17:21:35 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:21:39 -0800] "GET / HTTP/1.1" 200 3143
10.143.212.234 - - [18/Feb/2018:17:21:39 -0800] "GET /js/image-test.js HTTP/1.1" 200 678
10.143.212.234 - - [18/Feb/2018:17:21:39 -0800] "GET /images/sushi.jpg HTTP/1.1" 200 40183
10.143.212.234 - - [18/Feb/2018:17:21:44 -0800] "GET /protected/ HTTP/1.1" 404 -
10.143.212.234 - - [18/Feb/2018:17:28:06 -0800] "GET /cgi-bin/perl_env HTTP/1.1" 200 -
10.143.212.234 - - [18/Feb/2018:17:28:24 -0800] "GET / HTTP/1.1" 401 -
